id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
2277,6083864,1,1,3,0,,2008-06-21 09:30:00,-73.9165131605,40.8263065195,2008-06-21 09:55:00,-73.9208762253,40.8070018028
2278,6083864,1,2,3,0,,2008-06-21 15:00:00,-73.9208762253,40.8070018028,2008-06-21 15:20:00,-73.9165131605,40.8263065195
2279,6083864,1,3,3,0,,2008-06-21 16:40:00,-73.9165131605,40.8263065195,2008-06-21 17:00:00,-73.9395309503,40.8210134692
2280,6083864,1,4,3,0,,2008-06-21 16:30:00,-73.9395309503,40.8210134692,2008-06-21 17:15:00,-73.9165131605,40.8263065195
2281,6084031,1,1,1,1,1141.0,2008-09-06 08:00:00,-73.9056988048,40.8098830163,2008-09-06 08:30:00,-73.9904586232,40.7374347364
2282,6084031,1,2,3,0,,2008-09-06 13:30:00,-73.9904586232,40.7374347364,2008-09-06 13:40:00,-74.0032953223,40.7380843055
2283,6084031,1,3,2,1,1109.0,2008-09-06 15:00:00,-74.0032953223,40.7380843055,2008-09-06 15:45:00,,
2284,6084031,1,4,1,2,1073.0,2008-09-06 17:30:00,,,2008-09-06 18:30:00,-73.9056988048,40.8098830163
2285,6084071,1,1,1,1,1209.0,2008-06-21 08:00:00,,,2008-06-21 09:00:00,-73.9897030759,40.7522506731
2286,6084071,1,2,1,1,1297.0,2008-06-21 12:00:00,-73.9897030759,40.7522506731,2008-06-21 13:00:00,,
2287,6084071,1,3,9,0,,2008-06-21 15:00:00,,,2008-06-21 15:20:00,,
2288,6084071,1,4,9,0,,2008-06-21 16:40:00,,,2008-06-21 17:00:00,,
2289,6084089,1,1,8,0,,2008-06-21 08:00:00,-73.8697443648,40.8374106277,2008-06-21 08:15:00,-73.8589213168,40.8361270231
2290,6084089,1,2,8,0,,2008-06-21 11:00:00,-73.8589213168,40.8361270231,2008-06-21 12:00:00,-73.8697443648,40.8374106277
2291,6084201,2,1,10,0,,2008-11-01 18:00:00,-73.8990783473,40.8162672386,2008-11-01 18:10:00,-73.8939205318,40.8185553284
2292,6084201,2,2,10,0,,2008-11-01 21:00:00,-73.8939205318,40.8185553284,2008-11-01 21:10:00,-73.8990783473,40.8162672386
2293,6084355,1,1,7,0,,2008-09-06 09:00:00,,,2008-09-06 09:30:00,,
2294,6084355,1,2,7,0,,2008-09-06 11:00:00,,,2008-09-06 11:30:00,,
2295,6084393,1,1,10,0,,2008-09-06 07:39:00,-73.8860400745,40.8196855513,2008-09-06 08:30:00,-73.9808340878,40.6849057874
2296,6084393,1,2,10,0,,2008-09-06 17:59:00,-73.9808340878,40.6849057874,2008-09-06 19:00:00,-73.8860400745,40.8196855513
2297,6084615,1,1,7,0,,2008-06-21 14:00:00,,,2008-06-21 14:40:00,-73.784646489,40.7026767406
2298,6084615,1,2,7,0,,2008-06-21 18:00:00,-73.784646489,40.7026767406,2008-06-21 18:40:00,,
2299,6084693,1,1,8,0,,2008-09-06 14:00:00,-73.9075674201,40.9053354682,2008-09-06 15:30:00,,
2300,6084693,1,2,8,0,,2008-09-06 19:00:00,,,2008-09-06 20:30:00,-73.9075674201,40.9053354682
2301,6084788,2,1,1,0,,2008-11-01 13:30:00,-73.9027259132,40.8377904856,2008-11-01 13:40:00,,
2302,6084788,2,2,3,0,,2008-11-01 14:20:00,,,2008-11-01 14:50:00,-73.892328124,40.8256327565
2303,6084788,2,3,1,0,,2008-11-01 15:30:00,-73.892328124,40.8256327565,2008-11-01 16:00:00,-73.9027259132,40.8377904856
