id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
1248,6036479,1,2,3,0,,2008-05-25 12:00:00,,,2008-05-25 13:13:00,-73.8336418609,40.7589783246
1249,6036479,1,3,1,2,1176.0,2008-05-25 14:00:00,-73.8336418609,40.7589783246,2008-05-25 15:15:00,-73.9183423201,40.7557866088
1250,6036483,1,1,8,0,,2008-06-15 07:20:00,-73.9302770043,40.7446891387,2008-06-15 08:00:00,,
1251,6036483,1,2,8,0,,2008-06-15 19:30:00,,,2008-06-15 20:10:00,-73.9302770043,40.7446891387
1252,6036487,1,1,1,2,0.0,2008-06-01 10:00:00,-73.9183423201,40.7557866088,2008-06-01 13:00:00,,
1253,6036487,1,2,1,2,1297.0,2008-06-01 17:01:00,,,2008-06-01 19:30:00,-73.9183423201,40.7557866088
1254,6036537,1,1,1,1,1257.0,2008-06-01 13:00:00,-73.9450108854,40.7485548333,2008-06-01 13:30:00,-73.9842785152,40.7698196719
1255,6036537,1,2,1,1,1254.0,2008-06-01 16:00:00,-73.9842785152,40.7698196719,2008-06-01 16:30:00,-73.9450108854,40.7485548333
1256,6036553,1,1,4,1,,2008-05-04 13:00:00,-73.9450108854,40.7485548333,2008-05-04 13:30:00,-73.9969945326,40.7422433566
1257,6036553,1,2,4,1,,2008-05-04 13:30:00,-73.9969945326,40.7422433566,2008-05-04 14:00:00,-73.9450108854,40.7485548333
1258,6036671,1,1,10,0,,2008-05-04 09:00:00,,,2008-05-04 09:05:00,-73.9200240459,40.7644846346
1259,6036671,1,2,9,0,,2008-05-04 09:30:00,-73.9200240459,40.7644846346,2008-05-04 09:45:00,,
1260,6036687,1,1,1,1,1365.0,2008-05-18 11:00:00,-73.9286960277,40.7726202365,2008-05-18 11:35:00,-73.9897030759,40.7522506731
1261,6036687,1,2,1,1,1297.0,2008-05-18 16:00:00,-73.9897030759,40.7522506731,2008-05-18 16:45:00,-73.9286960277,40.7726202365
1262,6036687,2,1,1,1,1365.0,2008-05-18 11:00:00,-73.9286960277,40.7726202365,2008-05-18 11:35:00,-73.9897030759,40.7522506731
1263,6036687,2,2,1,1,1297.0,2008-05-18 16:00:00,-73.9897030759,40.7522506731,2008-05-18 16:45:00,-73.9286960277,40.7726202365
1264,6036689,1,1,1,1,1364.0,2008-05-11 10:15:00,-73.9200240459,40.7644846346,2008-05-11 10:55:00,-74.0061463442,40.7188621404
1265,6036689,1,2,1,1,1105.0,2008-05-11 18:30:00,-74.0061463442,40.7188621404,2008-05-11 19:15:00,-73.9200240459,40.7644846346
1266,6036730,1,1,10,0,,2008-05-18 08:30:00,-73.9230439658,40.7690855733,2008-05-18 08:40:00,-73.9253704132,40.7669950826
1267,6036730,1,2,10,0,,2008-05-18 12:30:00,-73.9253704132,40.7669950826,2008-05-18 12:40:00,-73.9230439658,40.7690855733
1268,6036730,1,3,9,0,,2008-05-18 16:00:00,-73.9230439658,40.7690855733,2008-05-18 16:05:00,-73.9253704132,40.7669950826
1269,6036730,1,4,9,0,,2008-05-18 16:35:00,-73.9253704132,40.7669950826,2008-05-18 16:40:00,-73.9230439658,40.7690855733
1270,6036760,1,1,10,0,,2008-05-18 11:00:00,-73.927329931,40.7645435597,2008-05-18 12:30:00,-73.9200240459,40.7644846346
1271,6036760,1,2,10,0,,2008-05-18 12:30:00,-73.9200240459,40.7644846346,2008-05-18 12:50:00,-73.927329931,40.7645435597
1272,6036760,2,1,8,0,,2008-05-18 05:45:00,-73.927329931,40.7645435597,2008-05-18 06:45:00,,
1273,6036760,2,2,8,0,,2008-05-18 15:00:00,,,2008-05-18 16:00:00,-73.927329931,40.7645435597
1274,6036832,1,1,8,0,,2008-05-11 12:00:00,-73.9345832412,40.774377439,2008-05-11 12:15:00,-73.9221678874,40.7715050282
1275,6036832,1,2,8,0,,2008-05-11 12:15:00,-73.9221678874,40.7715050282,2008-05-11 12:45:00,-73.9345832412,40.774377439
1276,6036901,1,1,8,0,,2008-05-04 14:00:00,,,2008-05-04 14:20:00,-73.8073742762,40.7839079315
1277,6036901,1,2,8,0,,2008-05-04 15:30:00,-73.8073742762,40.7839079315,2008-05-04 15:45:00,,
1278,6036902,1,1,8,0,,2008-06-01 11:30:00,-73.9066901803,40.7669903939,2008-06-01 11:45:00,-73.8993538964,40.7639864897
1279,6036902,1,2,8,0,,2008-06-01 14:30:00,-73.8993538964,40.7639864897,2008-06-01 14:45:00,-73.9066901803,40.7669903939
1280,6036902,1,3,8,0,,2008-06-01 15:00:00,-73.9066901803,40.7669903939,2008-06-01 15:10:00,-73.9107521742,40.7629976619
1281,6036902,1,4,9,0,,2008-06-01 16:00:00,-73.9107521742,40.7629976619,2008-06-01 16:15:00,-73.9175966621,40.7600348605
1282,6036902,1,5,9,0,,2008-06-01 16:35:00,-73.9175966621,40.7600348605,2008-06-01 16:55:00,-73.9066901803,40.7669903939
1283,6036902,1,6,9,0,,2008-06-01 18:55:00,-73.9066901803,40.7669903939,2008-06-01 19:05:00,,
