sampn,hcnty,hhtaz,hhzip,lang,hhnum,hhveh,hmrac,hhinc,hhtel,hstruc,wtrip,strip,ttrips,ttrans,truse,otran,auto,subwy,mbus,EXP1_FINAL_SAT,EXP1_FINAL_SUN,EXP1_FINAL_WKD,EXP1_FINAL_WKNDAY,EXP1_FINAL_WKNTOT,EXP_HH1B_AVGDAY
6091731,"Kings                                             ",1219,"11215",1,4,1,4,1,3,3,,,2,0,,,,,,,,2.7200000000000000e+02,,,1.9875428571428569e+02
6091734,"Kings                                             ",1262,"11225",1,2,0,2,2,1,6,,,2,2,1,,,1,,,,3.2850000000000000e+02,,,2.4003964285714284e+02
6091735,"Kings                                             ",1112,"11205",1,8,0,1,1,1,3,1,,2,2,1,,,1,,,,2.7200000000000000e+02,,,1.9875428571428569e+02
6091738,"Kings                                             ",1357,"11219",1,5,1,1,2,3,2,,,2,0,,,,,,,,2.5140000000000001e+02,,,1.8370157142857141e+02
6091745,"Kings                                             ",1049,"11211",1,1,0,1,1,1,6,,,3,3,1,,,1,1,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6091750,"Kings                                             ",1197,"11207",1,5,0,2,2,3,3,,,4,4,1,,,1,1,1.5600999999999999e+03,,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6091756,"Kings                                             ",1493,"11236",1,2,0,2,1,3,4,,,0,0,,,,,,,,3.0010000000000002e+02,,,2.1928735714285713e+02
6091775,"Kings                                             ",1418,"11230",1,2,1,1,1,3,2,1,,6,2,1,,,1,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6091781,"Kings                                             ",1377,"11230",1,1,1,1,2,3,4,,,2,2,1,,,1,,,,2.7250000000000000e+02,,,1.9911964285714282e+02
6091783,"Kings                                             ",1179,"11239",1,5,1,5,4,3,1,1,,2,4,1,,,1,1,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6091789,"Kings                                             ",1058,"11211",1,5,1,1,3,3,3,,,3,0,,,,,,,,2.5500000000000000e+02,,,1.8633214285714283e+02
6091797,"Kings                                             ",1230,"11215",1,3,1,1,7,3,2,,,4,0,,,,,,,,2.7389999999999998e+02,,,2.0014264285714285e+02
6091808,"Kings                                             ",1276,"11225",1,4,0,2,2,3,3,,,2,2,1,,,1,1,,,2.6269999999999999e+02,,,1.9195864285714285e+02
6091810,"Kings                                             ",1271,"11213",1,2,0,2,2,3,4,,,4,3,1,,,,1,1.5992000000000000e+03,,,7.7439999999999998e+02,1.5488000000000000e+03,2.2634605714285709e+02
6091819,"Kings                                             ",1362,"11218",1,1,0,5,1,1,6,,,2,0,,,,,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6091826,"Kings                                             ",1408,"11230",1,2,0,2,4,1,4,,,2,2,1,,,1,,1.5613000000000000e+03,,,7.3329999999999995e+02,1.4666500000000001e+03,2.1433311428571426e+02
6091841,"Kings                                             ",1213,"11215",1,1,0,1,3,3,4,1,,7,2,1,,,1,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6091845,"Kings                                             ",1368,"11219",1,1,0,1,2,3,6,,,5,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6091846,"Kings                                             ",1049,"11211",1,6,1,1,1,1,6,,,4,1,1,,,1,,,1.3333000000000000e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6091851,"Kings                                             ",1448,"11229",1,5,0,4,5,3,2,,,0,0,,,,,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6091860,"Kings                                             ",1285,"11225",1,1,0,5,1,1,6,,,0,0,,,,,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6091861,"Kings                                             ",1081,"11201",1,1,0,4,5,3,4,1,,2,2,1,,,1,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
