transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6010079_1_2,10:609,6005839_3_2,9,16.7396157435,3.6453180209,53.4193167505
6029214_1_5,10:634,6046200_1_3,1,29.1967683459,24.7819376474,35.4678106946
6029214_1_5,10:634,6046200_1_3,4,29.1967683459,26.0485558281,31.642953737
6029214_1_5,10:633,6046200_1_3,1,29.1967683459,24.7819376474,30.2304656072
6029214_1_5,10:633,6046200_1_3,4,29.1967683459,26.0485558281,29.0105140999
6029214_1_5,10:632,6046200_1_3,1,29.1967683459,24.7819376474,29.540412928
6029214_1_5,10:632,6046200_1_3,4,29.1967683459,26.0485558281,29.233794734
6029214_1_5,10:631,6046200_1_3,1,29.1967683459,24.7819376474,18.3651651685
6029214_1_5,10:631,6046200_1_3,4,29.1967683459,26.0485558281,27.9403712081
6029412_1_4,3:629,6005839_3_4,6,60.7783391752,29.9356757134,34.7444323501
6029412_1_4,3:629,6005839_3_4,9,60.7783391752,31.5276825853,33.0324254781
6029412_1_4,3:629,6005839_3_4,10,60.7783391752,37.9868154892,26.5666259142
6029412_1_4,3:629,6005839_3_4,11,60.7783391752,43.3509932717,21.2024481317
6029412_1_4,3:629,6005839_3_4,13,60.7783391752,46.2455195873,18.3079218161
6029412_2_2,10:628,6005839_3_4,6,60.7783391752,29.5032636345,37.2871988075
6029412_2_2,10:628,6005839_3_4,9,60.7783391752,31.0952705064,35.6951919355
6029412_2_2,10:628,6005839_3_4,10,60.7783391752,37.5544034103,29.2360590316
6029412_2_2,10:628,6005839_3_4,11,60.7783391752,42.9185811928,23.8718812491
6029412_2_2,10:628,6005839_3_4,13,60.7783391752,45.8131075084,20.9773549335
6029412_2_2,10:629,6005839_3_4,1,60.7783391752,26.8958759648,37.9239021369
6029412_2_2,10:629,6005839_3_4,6,60.7783391752,29.5032636345,35.4431811273
6029412_2_2,10:629,6005839_3_4,9,60.7783391752,31.0952705064,33.7311742553
6029412_2_2,10:629,6005839_3_4,10,60.7783391752,37.5544034103,27.2653746914
6029412_2_2,10:629,6005839_3_4,11,60.7783391752,42.9185811928,21.9011969089
6029412_2_2,10:629,6005839_3_4,13,60.7783391752,45.8131075084,19.0066705933
6030582_1_4,10:118,6081235_1_2,1,74.1029536552,74.0516434835,20.8538993898
6030582_1_4,10:119,6081235_1_2,1,74.1029536552,74.0516434835,19.1662226164
6030582_1_4,10:120,6081235_1_2,1,74.1029536552,74.0516434835,18.9591581943
6030582_1_4,10:121,6081235_1_2,1,74.1029536552,74.0516434835,17.0434293142
6030582_1_4,10:122,6081235_1_2,1,74.1029536552,74.0516434835,18.2502897645
