transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6030582_1_4,10:118,6081235_1_2,5,2010-06-19 21:52:01.000000,2010-06-19 22:52:34.999998,2010-06-19 22:05:03.000000,8762.661,4419.08,47669.842
6030582_1_4,10:118,6081235_1_2,8,2010-06-19 21:54:14.000002,2010-06-19 22:54:34.999998,2010-06-19 22:07:03.000000,9312.019,4419.08,47669.842
6030582_1_4,10:118,6081235_1_2,11,2010-06-19 21:57:32.000001,2010-06-19 22:57:34.999998,2010-06-19 22:10:03.000000,11924.487,4419.08,47669.842
6030582_1_4,10:119,6081235_1_2,1,2010-06-19 21:42:41.000003,2010-06-19 22:40:34.999998,2010-06-19 21:53:57.000000,6055.066,3819.586,47669.842
6030582_1_4,10:119,6081235_1_2,3,2010-06-19 21:44:58.999999,2010-06-19 22:41:34.999998,2010-06-19 21:54:57.000000,6798.125,3819.586,47669.842
6030582_1_4,10:119,6081235_1_2,5,2010-06-19 21:50:47.000000,2010-06-19 22:47:34.999998,2010-06-19 22:00:57.000000,8065.446,3819.586,47669.842
6030582_1_4,10:119,6081235_1_2,8,2010-06-19 21:53:18.000001,2010-06-19 22:50:34.999998,2010-06-19 22:03:57.000000,8760.515,3819.586,47669.842
6030582_1_4,10:119,6081235_1_2,11,2010-06-19 21:56:35.999999,2010-06-19 22:53:34.999998,2010-06-19 22:06:57.000000,11372.983,3819.586,47669.842
6030582_1_4,10:120,6081235_1_2,1,2010-06-19 21:40:19.000001,2010-06-19 22:41:34.999998,2010-06-19 21:54:04.000000,5526.657,3219.052,47669.842
6030582_1_4,10:120,6081235_1_2,3,2010-06-19 21:42:36.999999,2010-06-19 22:41:34.999998,2010-06-19 21:54:04.000000,6269.716,3219.052,47669.842
6030582_1_4,10:120,6081235_1_2,5,2010-06-19 21:48:25.000000,2010-06-19 22:44:34.999998,2010-06-19 21:57:04.000000,7537.037,3219.052,47669.842
6030582_1_4,10:120,6081235_1_2,8,2010-06-19 21:52:25.999999,2010-06-19 22:48:34.999998,2010-06-19 22:01:04.000000,8439.174,3219.052,47669.842
6030582_1_4,10:120,6081235_1_2,11,2010-06-19 21:56:42.999999,2010-06-19 22:52:34.999998,2010-06-19 22:05:04.000000,10951.096,3219.052,47669.842
6030582_1_4,10:120,6081235_1_2,12,2010-06-19 22:09:22.000000,2010-06-19 23:05:34.999998,2010-06-19 22:18:04.000000,19664.735,3219.052,47669.842
6030582_1_4,10:121,6081235_1_2,1,2010-06-19 21:41:56.000000,2010-06-19 22:42:34.999998,2010-06-19 21:55:24.999999,4569.566,2972.957,47669.842
6030582_1_4,10:121,6081235_1_2,3,2010-06-19 21:44:14.000000,2010-06-19 22:42:34.999998,2010-06-19 21:55:24.999999,5312.625,2972.957,47669.842
6030582_1_4,10:121,6081235_1_2,5,2010-06-19 21:50:02.000001,2010-06-19 22:46:34.999998,2010-06-19 21:59:24.999999,6579.946,2972.957,47669.842
6030582_1_4,10:121,6081235_1_2,8,2010-06-19 21:54:03.000001,2010-06-19 22:50:34.999998,2010-06-19 22:03:24.999999,7625.615,2972.957,47669.842
6030582_1_4,10:121,6081235_1_2,11,2010-06-19 21:57:42.000000,2010-06-19 22:53:34.999998,2010-06-19 22:06:24.999999,8989.787,2972.957,47669.842
