transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6010079_1_2,10:609,6005839_3_2,9,16.7396157435,8.33806327208,48.7265714994
6029214_1_5,10:633,6046200_1_3,1,29.1967683459,28.2361304926,26.7762727621
6029214_1_5,10:632,6046200_1_3,1,29.1967683459,28.0462651465,26.2760854289
6029214_1_5,10:631,6046200_1_3,1,29.1967683459,27.0345745159,16.1125283001
6029214_1_5,10:631,6046200_1_3,4,29.1967683459,28.3011926966,25.6877343397
6029412_1_4,3:629,6005839_3_4,6,60.7783391752,30.0627390924,34.617368971
6029412_1_4,3:629,6005839_3_4,9,60.7783391752,31.6547459644,32.905362099
6029412_1_4,3:629,6005839_3_4,10,60.7783391752,38.1138788683,26.4395625351
6029412_1_4,3:629,6005839_3_4,11,60.7783391752,43.4780566508,21.0753847526
6029412_1_4,3:629,6005839_3_4,13,60.7783391752,46.3725829664,18.180858437
6029412_2_2,10:628,6005839_3_4,6,60.7783391752,30.533774816,36.2566876259
6029412_2_2,10:628,6005839_3_4,9,60.7783391752,32.125781688,34.664680754
6029412_2_2,10:628,6005839_3_4,10,60.7783391752,38.5849145918,28.2055478501
6029412_2_2,10:628,6005839_3_4,11,60.7783391752,43.9490923743,22.8413700676
6029412_2_2,10:628,6005839_3_4,13,60.7783391752,46.8436186899,19.946843752
6029412_2_2,10:629,6005839_3_4,1,60.7783391752,27.3723137325,37.4474643692
6029412_2_2,10:629,6005839_3_4,6,60.7783391752,29.9797014021,34.9667433596
6029412_2_2,10:629,6005839_3_4,9,60.7783391752,31.5717082741,33.2547364876
6029412_2_2,10:629,6005839_3_4,10,60.7783391752,38.030841178,26.7889369237
6029412_2_2,10:629,6005839_3_4,11,60.7783391752,43.3950189605,21.4247591412
6029412_2_2,10:629,6005839_3_4,13,60.7783391752,46.2895452761,18.5302328256
6030582_1_4,3:626,6073513_1_6,1,29.8408549602,14.6316124552,18.6349540337
6030582_1_4,3:626,6073513_1_6,3,29.8408549602,15.5956540274,17.6709124615
6030582_1_4,3:626,6073513_1_6,5,29.8408549602,19.8575041216,13.4090623672
6030582_1_4,3:626,6073513_1_6,6,29.8408549602,21.5469870158,11.7195794731
6030582_1_4,3:626,6073513_1_6,7,29.8408549602,22.4217733041,10.8447931847
6032078_1_4,10:632,6005839_3_4,6,60.7783391752,31.8367672783,37.4377702049
6032078_1_4,10:632,6005839_3_4,9,60.7783391752,33.4287741503,35.8457633329
6032078_1_4,10:632,6005839_3_4,13,60.7783391752,48.1466111522,21.127926331
6032078_1_4,10:631,6005839_3_4,1,60.7783391752,28.2862347432,39.5276505906
6032078_1_4,10:631,6005839_3_4,6,60.7783391752,30.8936224128,36.920262921
6032078_1_4,10:631,6005839_3_4,9,60.7783391752,32.4856292848,35.328256049
6032078_1_4,10:631,6005839_3_4,10,60.7783391752,38.9447621886,28.8691231451
6032078_1_4,10:631,6005839_3_4,11,60.7783391752,44.3089399711,23.5049453626
6032078_1_4,10:631,6005839_3_4,13,60.7783391752,47.2034662867,20.610419047
6032078_1_4,10:630,6005839_3_4,1,60.7783391752,25.8373207567,38.0647094658
6032078_1_4,10:630,6005839_3_4,6,60.7783391752,28.4447084263,35.4573217961
6032078_1_4,10:630,6005839_3_4,9,60.7783391752,30.0367152982,33.8653149242
6032078_1_4,10:630,6005839_3_4,10,60.7783391752,36.4958482021,27.4061820203
6032078_1_4,10:630,6005839_3_4,11,60.7783391752,41.8600259846,22.0420042378
6032078_1_4,10:630,6005839_3_4,13,60.7783391752,44.7545523002,19.1474779222
6032078_1_4,10:629,6005839_3_4,1,60.7783391752,25.2387501888,39.1222370817
6032078_1_4,10:629,6005839_3_4,6,60.7783391752,27.8461378584,36.514849412
6032078_1_4,10:629,6005839_3_4,9,60.7783391752,29.4381447304,34.9228425401
6032078_1_4,10:629,6005839_3_4,10,60.7783391752,35.8972776342,28.4637096362
6032078_1_4,10:629,6005839_3_4,11,60.7783391752,41.2614554168,23.0995318537
6032078_1_4,10:629,6005839_3_4,13,60.7783391752,44.1559817323,20.2050055381
6032078_1_4,10:628,6005839_3_4,1,60.7783391752,24.6814743841,39.4274987895
6032078_1_4,10:628,6005839_3_4,6,60.7783391752,27.2888620538,36.8201111199
6032078_1_4,10:628,6005839_3_4,9,60.7783391752,28.8808689257,35.2281042479
6032078_1_4,10:628,6005839_3_4,10,60.7783391752,35.3400018296,28.7689713441
6032078_1_4,10:628,6005839_3_4,11,60.7783391752,40.7041796121,23.4047935616
6032078_1_4,10:628,6005839_3_4,13,60.7783391752,43.5987059277,20.510267246
6032078_1_4,10:627,6005839_3_4,1,60.7783391752,24.2056261422,39.9071482686
6032078_1_4,10:627,6005839_3_4,6,60.7783391752,26.8130138118,37.2997605989
6032078_1_4,10:627,6005839_3_4,9,60.7783391752,28.4050206838,35.707753727
6032078_1_4,10:627,6005839_3_4,10,60.7783391752,34.8641535877,29.2486208231
6032078_1_4,10:627,6005839_3_4,11,60.7783391752,40.2283313702,23.8844430406
6032078_1_4,10:627,6005839_3_4,13,60.7783391752,43.1228576858,20.989916725
6032078_1_4,10:626,6005839_3_4,1,60.7783391752,24.0150633072,43.4166011902
6032078_1_4,10:626,6005839_3_4,6,60.7783391752,26.6224509768,40.8092135206
6032078_1_4,10:626,6005839_3_4,9,60.7783391752,28.2144578488,39.2172066486
6032078_1_4,10:626,6005839_3_4,10,60.7783391752,34.6735907527,32.7580737447
6032078_1_4,10:626,6005839_3_4,11,60.7783391752,40.0377685352,27.3938959622
6032078_1_4,10:626,6005839_3_4,13,60.7783391752,42.9322948508,24.4993696466
6037069_1_3,10:G21,6005839_3_4,6,60.7783391752,28.5976930733,35.5780402006
