transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6010079_1_2,10:609,6005839_3_2,9,16.7396157435,5.1453180209,51.9193167505
6029214_1_5,10:634,6046200_1_3,1,29.1967683459,26.2819376474,33.9678106946
6029214_1_5,10:634,6046200_1_3,4,29.1967683459,27.5485558281,30.142953737
6029214_1_5,10:633,6046200_1_3,1,29.1967683459,26.2819376474,28.7304656072
6029214_1_5,10:633,6046200_1_3,4,29.1967683459,27.5485558281,27.5105140999
6029214_1_5,10:632,6046200_1_3,1,29.1967683459,26.2819376474,28.040412928
6029214_1_5,10:632,6046200_1_3,4,29.1967683459,27.5485558281,27.733794734
6029214_1_5,10:631,6046200_1_3,1,29.1967683459,26.2819376474,16.8651651685
6029214_1_5,10:631,6046200_1_3,4,29.1967683459,27.5485558281,26.4403712081
6029412_1_4,3:629,6005839_3_4,6,60.7783391752,31.6856757134,32.9944323501
6029412_1_4,3:629,6005839_3_4,9,60.7783391752,33.2776825853,31.2824254781
6029412_1_4,3:629,6005839_3_4,10,60.7783391752,39.7368154892,24.8166259142
6029412_1_4,3:629,6005839_3_4,11,60.7783391752,45.1009932717,19.4524481317
6029412_1_4,3:629,6005839_3_4,13,60.7783391752,47.9955195873,16.5579218161
6029412_2_2,10:628,6005839_3_4,6,60.7783391752,31.2532636345,35.5371988075
6029412_2_2,10:628,6005839_3_4,9,60.7783391752,32.8452705064,33.9451919355
6029412_2_2,10:628,6005839_3_4,10,60.7783391752,39.3044034103,27.4860590316
6029412_2_2,10:628,6005839_3_4,11,60.7783391752,44.6685811928,22.1218812491
6029412_2_2,10:628,6005839_3_4,13,60.7783391752,47.5631075084,19.2273549335
6029412_2_2,10:629,6005839_3_4,1,60.7783391752,28.6458759648,36.1739021369
6029412_2_2,10:629,6005839_3_4,6,60.7783391752,31.2532636345,33.6931811273
6029412_2_2,10:629,6005839_3_4,9,60.7783391752,32.8452705064,31.9811742553
6029412_2_2,10:629,6005839_3_4,10,60.7783391752,39.3044034103,25.5153746914
6029412_2_2,10:629,6005839_3_4,11,60.7783391752,44.6685811928,20.1511969089
6029412_2_2,10:629,6005839_3_4,13,60.7783391752,47.5631075084,17.2566705933
6030582_1_4,3:626,6073513_1_6,1,29.8408549602,15.6736176775,17.5929488114
6030582_1_4,3:626,6073513_1_6,3,29.8408549602,16.6376592497,16.6289072392
6030582_1_4,3:626,6073513_1_6,5,29.8408549602,20.8995093439,12.3670571449
6030582_1_4,3:626,6073513_1_6,6,29.8408549602,22.5889922381,10.6775742508
6030582_1_4,3:626,6073513_1_6,7,29.8408549602,23.4637785264,9.80278796241
6032078_1_4,10:632,6005839_3_4,6,60.7783391752,27.4449273783,41.8296101049
6032078_1_4,10:632,6005839_3_4,9,60.7783391752,29.0369342503,40.2376032329
6032078_1_4,10:632,6005839_3_4,13,60.7783391752,43.7547712522,25.519766231
6032078_1_4,10:631,6005839_3_4,1,60.7783391752,24.8375397087,42.9763456251
6032078_1_4,10:631,6005839_3_4,6,60.7783391752,27.4449273783,40.3689579555
6032078_1_4,10:631,6005839_3_4,9,60.7783391752,29.0369342503,38.7769510835
6032078_1_4,10:631,6005839_3_4,10,60.7783391752,35.4960671541,32.3178181796
6032078_1_4,10:631,6005839_3_4,11,60.7783391752,40.8602449366,26.9536403971
6032078_1_4,10:631,6005839_3_4,13,60.7783391752,43.7547712522,24.0591140815
6032078_1_4,10:630,6005839_3_4,1,60.7783391752,24.8375397087,39.0644905138
6032078_1_4,10:630,6005839_3_4,6,60.7783391752,27.4449273783,36.4571028441
6032078_1_4,10:630,6005839_3_4,9,60.7783391752,29.0369342503,34.8650959722
6032078_1_4,10:630,6005839_3_4,10,60.7783391752,35.4960671541,28.4059630683
6032078_1_4,10:630,6005839_3_4,11,60.7783391752,40.8602449366,23.0417852858
6032078_1_4,10:630,6005839_3_4,13,60.7783391752,43.7547712522,20.1472589702
6032078_1_4,10:629,6005839_3_4,1,60.7783391752,24.8375397087,39.5234475618
6032078_1_4,10:629,6005839_3_4,6,60.7783391752,27.4449273783,36.9160598922
6032078_1_4,10:629,6005839_3_4,9,60.7783391752,29.0369342503,35.3240530202
6032078_1_4,10:629,6005839_3_4,10,60.7783391752,35.4960671541,28.8649201163
6032078_1_4,10:629,6005839_3_4,11,60.7783391752,40.8602449366,23.5007423338
6032078_1_4,10:629,6005839_3_4,13,60.7783391752,43.7547712522,20.6062160182
6032078_1_4,10:628,6005839_3_4,1,60.7783391752,24.8375397087,39.271433465
6032078_1_4,10:628,6005839_3_4,6,60.7783391752,27.4449273783,36.6640457954
6032078_1_4,10:628,6005839_3_4,9,60.7783391752,29.0369342503,35.0720389234
6032078_1_4,10:628,6005839_3_4,10,60.7783391752,35.4960671541,28.6129060196
6032078_1_4,10:628,6005839_3_4,11,60.7783391752,40.8602449366,23.2487282371
6032078_1_4,10:628,6005839_3_4,13,60.7783391752,43.7547712522,20.3542019215
6032078_1_4,10:627,6005839_3_4,1,60.7783391752,24.8375397087,39.2752347021
6032078_1_4,10:627,6005839_3_4,6,60.7783391752,27.4449273783,36.6678470325
6032078_1_4,10:627,6005839_3_4,9,60.7783391752,29.0369342503,35.0758401605
6032078_1_4,10:627,6005839_3_4,10,60.7783391752,35.4960671541,28.6167072567
6032078_1_4,10:627,6005839_3_4,11,60.7783391752,40.8602449366,23.2525294742
6032078_1_4,10:627,6005839_3_4,13,60.7783391752,43.7547712522,20.3580031586
6032078_1_4,10:626,6005839_3_4,1,60.7783391752,24.8375397087,42.5941247887
6032078_1_4,10:626,6005839_3_4,6,60.7783391752,27.4449273783,39.9867371191
6032078_1_4,10:626,6005839_3_4,9,60.7783391752,29.0369342503,38.3947302471
6032078_1_4,10:626,6005839_3_4,10,60.7783391752,35.4960671541,31.9355973433
6032078_1_4,10:626,6005839_3_4,11,60.7783391752,40.8602449366,26.5714195608
6032078_1_4,10:626,6005839_3_4,13,60.7783391752,43.7547712522,23.6768932452
