transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6053864_1_2,10:D15,6068278_1_2,1,2010-06-23 16:16:09.000001,2010-06-23 16:21:39.000000,2010-06-23 16:37:42.000000,2010-06-23 16:46:22.000000,7183.424,1297.914,7746.953,16.1874558404,1.00810765012,28.5413658606
6022639_2_2,3:234,6104045_2_1,3,2010-06-18 16:59:50.000001,2010-06-18 18:05:37.000001,2010-06-18 17:25:18.000000,2010-06-18 17:29:27.000000,27656.016,8310.059,24540.661,53.704269412,47.5237581824,53.4161528835
6072510_2_1,3:629,6068772_1_1,1,2010-06-18 09:12:03.000001,2010-06-18 09:14:34.000000,2010-06-18 09:27:02.999999,2010-06-18 09:35:41.000000,3396.815,567.112,3406.388,11.1569980928,0.44048368819,14.0287663098
6042285_1_3,10:G13,6021321_2_4,1,2010-05-26 19:55:39.000000,2010-05-26 20:53:20.000000,2010-05-26 20:25:44.000000,2010-05-26 20:35:05.000000,1548.161,2748.429,24064.22,39.7331634559,39.5167637092,17.199698467
6061249_1_1,3:R17,6067397_1_1,1,2010-06-14 08:41:06.000000,2010-06-14 08:57:56.000000,2010-06-14 08:44:12.000000,2010-06-14 08:47:01.000000,2340.299,626.239,4633.209,13.5874099811,7.68376271593,7.12189326691
6029412_1_4,3:629,6005839_3_4,6,2010-06-05 21:53:59.000001,2010-06-05 22:17:15.000000,2010-06-05 21:54:44.000000,2010-06-05 21:58:25.000000,19868.091,163.591,17592.252,60.7783391752,30.0627390924,34.617368971
6011097_1_2,10:125,6026699_1_2,1,2010-05-18 18:03:17.000000,2010-05-18 18:31:46.000001,2010-05-18 18:17:44.000000,2010-05-18 18:19:22.000000,910.993,1240.179,6787.791,13.1091000213,11.5076052854,9.86509232694
6101569_1_2,4:633S,6115896_1_2,1,2010-10-10 12:05:30.000001,2010-10-10 12:34:17.999999,2010-10-10 12:07:56.999999,2010-10-10 12:14:00.000000,10593.42,408.287,12412.752,23.2794336717,19.5994324343,20.1732320672
6059156_1_2,3:250,6074358_2_1,1,2010-06-18 18:55:03.000000,2010-06-18 19:23:48.000002,2010-06-18 18:57:34.000000,2010-06-18 19:05:22.000001,18969.807,548.339,10534.089,36.2797247998,16.789845981,34.4741223045
6031044_3_8,10:120,6028005_1_3,1,2010-05-20 22:43:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.856,8658.136,15.9377285449,14.0834731344,6.46427220773
6059156_1_1,10:629,6077968_1_1,1,2010-06-18 07:41:02.000000,2010-06-18 08:07:17.000001,2010-06-18 07:53:14.000001,2010-06-18 08:03:35.000000,5653.933,2769.631,3942.424,19.2584549388,8.27548033839,14.7208521522
6030915_1_8,10:120,6028005_1_3,1,2010-05-20 22:43:21.000000,2010-05-20 23:04:31.000000,2010-05-20 22:49:09.000000,2010-05-20 22:55:51.000000,817.924,815.856,8658.136,15.9377285449,14.0834731344,6.46427220773
6010967_1_3,10:635,6027153_1_2,1,2010-05-19 19:15:34.999999,2010-05-19 19:21:21.000000,2010-05-19 19:40:25.000002,2010-05-19 19:41:15.999999,3448.198,1499.616,9841.832,11.180178026,1.16477236692,25.8098704447
6016272_1_2,10:F23,6021321_2_4,1,2010-05-26 20:14:51.000000,2010-05-26 20:31:04.000000,2010-05-26 20:17:24.000000,2010-05-26 20:26:36.000000,17995.225,864.707,6458.593,39.7331634559,10.7045857941,32.6259072003
6018706_2_1,3:G24,6068278_1_2,2,2010-06-23 16:14:18.999998,2010-06-23 16:29:51.000000,2010-06-23 16:25:18.999999,2010-06-23 16:31:30.000000,6618.473,4104.613,1703.58,16.1874558404,7.88209346514,18.5027606684
6091892_2_1,3:R16,6028436_2_2,1,2010-06-04 08:58:36.000001,2010-06-04 09:11:43.000001,2010-06-04 08:59:46.000000,2010-06-04 09:02:55.000001,2569.194,164.516,3240.249,8.67969910232,5.16127374274,7.27883844506
6056696_1_1,10:F20,6088357_1_1,1,2010-06-20 10:38:13.000000,2010-06-20 11:08:41.999999,2010-06-20 10:43:07.000000,2010-06-20 10:51:08.000000,2467.317,861.437,17434.326,31.5610275241,27.752051415,8.21522137501
6047479_1_3,3:G14,6021151_1_3,1,2010-05-31 20:16:31.000001,2010-05-31 21:06:58.000001,2010-05-31 20:44:48.000000,2010-05-31 20:53:22.000000,11127.812,14497.394,23008.775,49.6720580008,47.0027890853,37.6399077613
6031512_2_2,3:118,6065846_1_2,4,2010-06-14 17:24:07.999998,2010-06-14 17:26:31.000000,2010-06-14 17:29:23.000000,2010-06-14 17:31:23.000000,16479.969,862.974,1303.528,30.9202166203,1.75470354775,32.2956570577
6020375_1_2,10:635,6066152_1_5,4,2010-06-18 22:15:05.000000,2010-06-18 22:18:40.000000,2010-06-18 22:47:12.000000,2010-06-18 22:49:11.000000,3160.459,700.549,14877.887,15.1705171109,1.66107303533,32.0653887718
6020902_1_1,3:D37,6046978_1_1,5,2010-05-23 09:51:52.999999,2010-05-23 10:01:54.000000,2010-05-23 10:24:48.000000,2010-05-23 10:29:34.000000,23144.382,8140.994,18448.542,47.3180671344,7.97289518609,73.9348139255
6073851_1_2,3:229,6065846_1_2,1,2010-06-14 17:05:53.000000,2010-06-14 18:05:50.000000,2010-06-14 17:46:11.000001,2010-06-14 18:17:53.000000,1311.676,17318.868,9573.428,30.9202166203,28.3234292345,26.1760631462
6068157_1_6,10:625,6067195_2_5,1,2010-06-07 22:12:28.000002,2010-06-07 23:03:10.000000,2010-06-07 22:37:17.000000,2010-06-07 22:48:29.000000,6834.937,7325.269,7399.687,19.3497559307,17.1845144319,24.3405495713
6006491_1_1,3:214,6033603_2_1,1,2010-06-01 09:10:53.999999,2010-06-01 09:48:55.000000,2010-06-01 09:35:11.999999,2010-06-01 09:52:58.000001,7088.038,19350.481,4006.26,34.1861149466,21.253219118,29.0405378121
6066423_2_1,3:629,6068018_1_1,1,2010-06-21 09:06:26.000000,2010-06-21 09:13:49.000000,2010-06-21 09:08:55.000000,2010-06-21 09:12:46.000000,1737.435,816.319,1462.878,8.04048698748,2.90652110603,6.33302550015
6016709_1_1,3:A42,6014457_2_3,1,2010-06-03 09:52:00.000000,2010-06-03 10:13:50.000002,2010-06-03 09:54:13.000000,2010-06-03 09:58:03.000000,4888.147,818.184,11405.547,27.0936589716,18.3531851252,11.4288767367
