transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6044009_1_3,10:F09,6042911_1_3,2,11.6626387441,6.74190253498,24.7962740706
6044009_1_3,10:F09,6042911_1_3,3,11.6626387441,7.25170870207,24.2864679035
6044009_1_3,10:G21,6042911_1_3,2,11.6626387441,6.17698401454,24.2313555501
6044009_1_3,10:G21,6042911_1_3,3,11.6626387441,6.66012351497,23.6948827164
6073241_2_4,10:R05,6073513_1_6,1,29.8408549602,16.9625069049,9.44338388727
6073241_2_4,10:R05,6073513_1_6,3,29.8408549602,17.9002926186,9.41712802873
6073241_2_4,10:R06,6073513_1_6,3,29.8408549602,17.8969592819,9.41379469206
6087484_1_2,3:220,6086311_1_3,1,6.64364187263,1.82182093631,23.7672192273
6087484_1_2,3:220,6086311_1_3,3,6.64364187263,2.26614392057,23.3228962431
6087484_1_2,3:219,6086311_1_3,1,6.64364187263,2.22671548863,24.1721137796
6087484_1_2,3:219,6086311_1_3,3,6.64364187263,2.883852771,23.9406050935
6087484_1_2,3:218,6086311_1_3,1,6.64364187263,2.96348101093,24.9088793019
6087484_1_2,3:218,6086311_1_3,3,6.64364187263,3.71361750959,24.7703698321
6087484_1_2,3:217,6086311_1_3,1,6.64364187263,3.66081266005,25.606210951
6090174_1_4,3:F26,6088818_1_2,10,20.7594760087,20.704541345,8.13566996116
6090174_1_4,3:F27,6088818_1_2,10,20.7594760087,18.1994672744,5.63059589053
6090174_1_4,3:F27,6088818_1_2,13,20.7594760087,18.8589617187,4.65797862512
6090174_1_4,3:F27,6088818_1_2,15,20.7594760087,19.4317651312,4.10132063121
6090554_1_4,11:D31,6097071_1_4,1,7.50792699108,4.38078516392,35.5620105382
6098740_1_1,13:303692,6098622_1_3,3,8.64120206201,6.03053060591,3.64127584327
6014261_1_2,10:R17,6017101_1_2,1,12.9725027929,10.3420468842,25.6248210359
6014261_1_2,10:R20,6017101_1_2,1,12.9725027929,6.97625061974,22.2590247715
6014261_1_2,10:R20,6017101_1_2,5,12.9725027929,8.35516573214,21.4608904675
6014261_1_2,10:Q01,6017101_1_2,5,12.9725027929,7.56100076546,20.6667255008
6014261_1_2,10:Q01,6017101_1_2,7,12.9725027929,8.4462563821,19.6229224205
6017115_1_4,3:R31,6089061_1_3,1,25.7456318693,21.6192260548,4.81939914284
6056696_1_1,10:F21,6088357_1_1,3,31.5610275241,31.4915661727,6.10746316687
6056696_1_1,10:F20,6088357_1_1,1,31.5610275241,30.0251171212,5.94215566883
6056696_1_1,10:F20,6088357_1_1,3,31.5610275241,30.8890212313,5.50491822545
6056696_1_1,10:A41,6088357_1_1,1,31.5610275241,30.2967447686,6.21378331623
6056696_1_1,10:A41,6088357_1_1,3,31.5610275241,31.1706488753,5.78654586951
6056696_2_1,3:F21,6088357_1_1,3,31.5610275241,31.4915661727,6.10746316687
6056696_2_1,3:F20,6088357_1_1,1,31.5610275241,30.0251171212,5.94215566883
6056696_2_1,3:F20,6088357_1_1,3,31.5610275241,30.8890212313,5.50491822545
6056696_2_1,3:A41,6088357_1_1,1,31.5610275241,30.2967447686,6.21378331623
6056696_2_1,3:A41,6088357_1_1,3,31.5610275241,31.1706488753,5.78654586951
6060629_1_1,10:R31,6088055_1_3,1,13.822665702,12.5429266552,5.08368220999
6060629_1_1,10:R31,6088357_1_1,1,31.5610275241,31.2391505168,6.36273247284
6062003_2_2,10:629,6089061_1_4,1,23.9066020632,12.2268352275,21.4221402185
6062003_2_2,10:629,6089061_1_4,3,23.9066020632,13.1698464982,20.965067478
6062003_2_2,10:629,6089061_1_4,4,23.9066020632,14.2276630516,20.7216166503
6062003_2_2,10:631,6089061_1_4,1,23.9066020632,12.5002202862,21.6955252772
6062003_2_2,10:631,6089061_1_4,3,23.9066020632,13.6434202984,21.4386412782
6062003_2_2,10:631,6089061_1_4,4,23.9066020632,14.7515004835,21.2454540822
6062003_2_2,10:635,6089061_1_4,2,23.9066020632,9.02095177393,17.7252835761
6062003_2_2,10:635,6089061_1_4,3,23.9066020632,9.51018082168,17.3054018015
6062003_2_2,10:635,6089061_1_4,4,23.9066020632,10.5956902726,17.0896438713
6068416_1_2,10:629,6069024_1_1,13,32.3777637802,31.9092929247,5.44301329215
6068416_1_2,10:628,6069024_1_1,13,32.3777637802,31.5341207656,5.06784113306
6068416_2_2,10:629,6069024_1_1,13,32.3777637802,31.9092929247,5.44301329215
6068416_2_2,10:628,6069024_1_1,13,32.3777637802,31.5341207656,5.06784113306
6071203_1_1,3:122,6068298_1_2,1,31.3843531076,30.2517531602,5.28781035062
6071203_1_1,3:123,6068298_1_2,1,31.3843531076,29.9006745824,4.93673177284
6071203_1_1,3:123,6068298_1_2,6,31.3843531076,31.1300432043,4.43938650366
6076683_2_1,3:G21,6079358_1_2,1,35.2356509547,19.9893910567,11.6616579183
6076683_2_1,3:G21,6079358_1_2,3,35.2356509547,22.8439747041,11.7317724815
6076683_2_1,3:G20,6079358_1_2,1,35.2356509547,21.0289190116,12.7011858731
6076683_2_1,3:G20,6079358_1_2,3,35.2356509547,23.6043965422,12.4921943196
6076683_2_1,3:G20,6079358_1_2,5,35.2356509547,24.6295116818,12.283476366
6076683_2_1,3:G19,6079358_1_2,2,35.2356509547,21.8405343196,13.1229701034
6076683_2_1,3:G19,6079358_1_2,3,35.2356509547,23.6704840955,12.558281873
6076683_2_1,3:G19,6079358_1_2,5,35.2356509547,24.7453724195,12.3993371036
6076683_2_1,3:G19,6079358_1_2,7,35.2356509547,26.2136407022,12.4549914289
6076683_2_1,3:G18,6079358_1_2,3,35.2356509547,21.5597707332,10.4475685106
6076683_2_1,3:G18,6079358_1_2,5,35.2356509547,22.6695358905,10.3235005746
6076683_2_1,3:G18,6079358_1_2,7,35.2356509547,24.1332494503,10.374600177
6076683_2_1,3:G16,6079358_1_2,6,35.2356509547,22.4900466844,9.89748242433
