transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6041631_1_4,3:709,6014760_1_4,4,2010-05-16 19:14:17.000001,2010-05-16 19:45:19.000001,2010-05-16 19:15:37.000000,2010-05-16 19:22:14.000000,9898.742,669.955,24320.232,54.0314790323,48.7704354324,9.81218560948
6062320_1_1,10:631,6028743_2_2,1,2010-06-23 08:46:27.000000,2010-06-23 09:01:08.999999,2010-06-23 08:49:27.000001,2010-06-23 08:51:59.000000,343.483,926.767,6555.233,13.1830792111,12.669699852,2.48662064094
6119125_1_2,11:116,6109168_1_2,1,2010-10-08 18:06:36.000001,2010-10-08 18:46:52.999999,2010-10-08 18:22:55.000000,2010-10-08 18:30:28.000000,4125.828,544.767,21495.67,42.9072476912,41.9196802628,8.52771535385
6099581_1_1,11:F16,6067480_2_1,1,2010-10-04 09:15:34.000000,2010-10-04 09:33:32.999999,2010-10-04 09:23:15.000000,2010-10-04 09:27:05.999999,3885.082,1538.171,2526.479,9.83609072787,9.82368379827,5.8989818415
6060193_1_3,10:D20,6065846_1_2,1,2010-06-14 17:13:30.000001,2010-06-14 17:45:53.999999,2010-06-14 17:24:20.000000,2010-06-14 17:33:20.000000,3599.488,1892.749,13352.802,30.9202166203,27.8085058217,7.06589599283
6041108_1_3,3:124,6030293_1_4,1,2010-05-25 21:07:59.999999,2010-05-25 21:19:41.999999,2010-05-25 21:46:43.000000,2010-05-25 21:58:02.999999,2359.756,2956.476,19389.993,8.14084756855,5.87919049259,36.0001388436
6031340_1_1,10:A25,6026699_1_1,5,2010-05-18 08:43:17.000000,2010-05-18 08:47:20.000000,2010-05-18 09:03:43.000000,2010-05-18 09:06:32.000000,3102.683,1243.451,6617.289,9.20624578086,6.50897105036,15.1551807452
6067170_1_3,3:126,6065846_1_2,4,2010-06-14 17:20:45.000001,2010-06-14 17:40:30.000000,2010-06-14 17:32:36.999999,2010-06-14 17:38:22.000000,10677.511,6012.01,2110.796,30.9202166203,19.3763687676,15.0129804383
6132009_2_1,10:114,6033603_2_1,1,2010-06-01 09:11:00.000000,2010-06-01 09:39:30.000000,2010-06-01 09:21:52.000001,2010-06-01 09:39:39.000000,2732.897,2422.431,16254.382,34.1861149466,31.6942181377,6.44421414336
6130288_3_3,11:A28,6140592_1_2,1,2010-11-19 19:31:41.000000,2010-11-19 19:42:53.000000,2010-11-19 19:33:20.000000,2010-11-19 19:39:46.000000,446.857,428.648,2145.52,8.18330724641,6.13625987483,2.80335010503
