transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6095558_1_4,11:A34,6119629_1_3,1,2010-09-25 13:05:38.999999,2010-09-25 13:50:30.000000,2010-09-25 13:30:39.000001,1271.627,18451.495,14918.168
6096067_1_5,6:308032,6118830_1_2,9,2010-09-25 21:21:26.000000,2010-09-25 22:23:54.000000,2010-09-25 21:36:52.999999,1367.222,10385.854,36253.419
6096067_1_5,6:306959,6118830_1_2,8,2010-09-25 21:20:22.000001,2010-09-25 22:25:54.000000,2010-09-25 21:38:39.000001,1188.944,9941.54,36253.419
6096067_1_5,6:200200,6118830_1_2,7,2010-09-25 21:24:14.000001,2010-09-25 22:33:54.000000,2010-09-25 21:46:35.999999,7768.773,6557.808,36253.419
6096067_1_5,6:200201,6118830_1_2,7,2010-09-25 21:24:50.000001,2010-09-25 22:34:54.000000,2010-09-25 21:47:14.000000,7972.325,6735.419,36253.419
6096067_1_5,6:203464,6118830_1_2,7,2010-09-25 21:25:10.000000,2010-09-25 22:34:54.000000,2010-09-25 21:47:14.999999,8197.796,6868.612,36253.419
6098740_1_1,13:303692,6098622_1_3,3,2010-10-16 11:24:21.000000,2010-10-16 11:30:58.000000,2010-10-16 11:24:44.000000,620.45,205.177,2623.11
6103503_1_1,5:A33,6119629_1_3,1,2010-09-25 13:07:10.000000,2010-09-25 13:41:09.000001,2010-09-25 13:12:54.999999,1382.759,789.838,20290.931
6003697_2_2,10:406,6055122_1_3,1,2010-06-13 17:05:15.000000,2010-06-13 17:25:22.000000,2010-06-13 17:07:40.000001,2524.361,1285.119,20509.247
6003697_2_2,10:406,6055122_1_3,2,2010-06-13 17:04:41.000000,2010-06-13 17:24:22.000000,2010-06-13 17:06:40.000001,1896.614,1285.119,20509.247
6014261_1_2,10:R20,6017101_1_2,1,2010-05-09 15:01:09.000000,2010-05-09 15:31:31.000000,2010-05-09 15:56:20.999999,176.899,6242.777,7906.886
6014261_1_2,10:Q01,6017101_1_2,5,2010-05-09 15:08:10.000000,2010-05-09 15:25:45.999999,2010-05-09 15:50:20.999999,1105.871,4066.285,7906.886
6014261_1_2,10:Q01,6017101_1_2,7,2010-05-09 15:10:13.000000,2010-05-09 15:25:45.999999,2010-05-09 15:50:20.999999,289.865,4066.285,7906.886
6017115_1_4,3:R31,6089061_1_3,2,2010-06-20 16:35:20.000000,2010-06-20 16:59:02.000001,2010-06-20 16:36:53.000000,1579.748,557.048,12745.897
6053986_1_2,10:108,6055122_1_3,1,2010-06-13 17:05:06.000000,2010-06-13 17:30:22.000001,2010-06-13 17:13:34.999999,3450.873,2993.9,18079.027
6053986_1_2,10:107,6055122_1_3,1,2010-06-13 17:05:30.000000,2010-06-13 17:28:22.000001,2010-06-13 17:11:47.000000,2415.14,2380.299,18079.027
6053986_1_2,10:107,6055122_1_3,2,2010-06-13 17:04:56.000001,2010-06-13 17:27:22.000001,2010-06-13 17:10:47.000000,1787.393,2380.299,18079.027
6053986_1_2,10:106,6055122_1_3,1,2010-06-13 17:03:10.000000,2010-06-13 17:28:22.000001,2010-06-13 17:11:38.000000,1628.026,2368.791,18079.027
6053986_1_2,10:106,6055122_1_3,2,2010-06-13 17:02:36.000000,2010-06-13 17:28:22.000001,2010-06-13 17:11:38.000000,1000.279,2368.791,18079.027
6053986_1_2,10:104,6055122_1_3,2,2010-06-13 17:02:07.000000,2010-06-13 17:25:22.000001,2010-06-13 17:08:59.000000,803.096,997.39,18079.027
6053986_1_2,10:103,6055122_1_3,3,2010-06-13 17:04:22.000000,2010-06-13 17:28:22.000001,2010-06-13 17:11:02.000000,1124.452,271.842,18079.027
6056696_1_1,10:A41,6088357_1_1,3,2010-06-20 10:34:20.000000,2010-06-20 11:09:41.999999,2010-06-20 10:44:16.000000,948.855,535.878,17434.326
6056696_1_1,10:A41,6088357_1_1,5,2010-06-20 10:34:13.000000,2010-06-20 11:09:41.999999,2010-06-20 10:44:16.000000,535.679,535.878,17434.326
6056696_1_1,10:A41,6088357_1_1,7,2010-06-20 10:35:31.000001,2010-06-20 11:09:41.999999,2010-06-20 10:44:16.000000,601.49,535.878,17434.326
6056696_2_1,3:A41,6088357_1_1,3,2010-06-20 10:34:20.000000,2010-06-20 11:09:41.999999,2010-06-20 10:44:16.000000,948.855,535.878,17434.326
6056696_2_1,3:A41,6088357_1_1,5,2010-06-20 10:34:13.000000,2010-06-20 11:09:41.999999,2010-06-20 10:44:16.000000,535.679,535.878,17434.326
6056696_2_1,3:A41,6088357_1_1,7,2010-06-20 10:35:31.000001,2010-06-20 11:09:41.999999,2010-06-20 10:44:16.000000,601.49,535.878,17434.326
6060629_1_1,10:R31,6088357_1_1,2,2010-06-20 10:35:20.000000,2010-06-20 11:10:20.000000,2010-06-20 10:44:53.000000,1579.748,557.048,17945.104
6060629_1_1,10:R31,6088357_1_1,3,2010-06-20 10:35:33.000001,2010-06-20 11:10:20.000000,2010-06-20 10:44:53.000000,1027.806,557.048,17945.104
6062003_2_2,10:631,6089061_1_4,1,2010-06-20 17:50:46.000000,2010-06-20 18:17:59.000000,2010-06-20 18:30:04.000001,1453.88,12648.553,3988.152
6062003_2_2,10:631,6089061_1_4,3,2010-06-20 17:49:46.000000,2010-06-20 18:17:59.000000,2010-06-20 18:30:04.000001,865.653,12648.553,3988.152
6062003_2_2,10:631,6089061_1_4,4,2010-06-20 17:51:35.000000,2010-06-20 18:17:59.000000,2010-06-20 18:30:04.000001,1084.712,12648.553,3988.152
6068416_1_2,10:629,6069024_1_1,14,2010-06-13 19:55:12.000000,2010-06-13 20:13:42.999998,2010-06-13 20:01:29.000000,1168.435,1876.772,4079.707
6068416_1_2,10:628,6069024_1_1,14,2010-06-13 19:56:17.000000,2010-06-13 20:11:42.999998,2010-06-13 19:59:39.000001,1404.438,1157.744,4079.707
6068416_2_2,10:629,6069024_1_1,14,2010-06-13 19:55:12.000000,2010-06-13 20:13:42.999998,2010-06-13 20:01:29.000000,1168.435,1876.772,4079.707
6068416_2_2,10:628,6069024_1_1,14,2010-06-13 19:56:17.000000,2010-06-13 20:11:42.999998,2010-06-13 19:59:39.000001,1404.438,1157.744,4079.707
6071203_1_1,3:123,6068298_1_2,1,2010-06-20 17:34:22.000000,2010-06-20 18:02:19.000001,2010-06-20 17:38:16.000001,1371.59,624.081,18001.447
6071203_1_1,3:123,6068298_1_2,6,2010-06-20 17:36:47.000000,2010-06-20 18:02:19.000001,2010-06-20 17:38:16.000001,1229.094,624.081,18001.447
6076683_2_1,3:G21,6079358_1_2,1,2010-06-20 14:34:09.000000,2010-06-20 15:06:31.000000,2010-06-20 14:52:19.000000,1377.952,8782.365,7292.09
6076683_2_1,3:G19,6079358_1_2,4,2010-06-20 14:36:14.000000,2010-06-20 15:11:31.000000,2010-06-20 14:57:54.999998,1065.895,9665.517,7292.09
6083339_1_4,1:100923,6054507_1_3,10,2010-06-27 19:29:08.000000,2010-06-27 19:48:26.999997,2010-06-27 19:35:13.000000,3081.054,610.108,10940.957
