transit_id,taxi_id,detour_factor
6010079_1_2,6005839_3_2,0.3580931256741609
6029412_1_4,6005839_3_4,0.08620689655172414
6029412_1_4,6005839_3_4,0.08620689655172414
6029412_1_4,6005839_3_4,0.10919540229885058
6029412_1_4,6005839_3_4,0.13218390804597702
6029412_1_4,6005839_3_4,0.10919540229885058
6029412_2_2,6005839_3_4,0.2318007670498085
6029412_2_2,6005839_3_4,0.2318007670498085
6029412_2_2,6005839_3_4,0.2777777785440614
6029412_2_2,6005839_3_4,0.2777777785440614
6029412_2_2,6005839_3_4,0.2777777785440614
6029412_2_2,6005839_3_4,0.18582375555555564
6029412_2_2,6005839_3_4,0.09386973256704989
6029412_2_2,6005839_3_4,0.09386973256704989
6029412_2_2,6005839_3_4,0.11685823831417633
6029412_2_2,6005839_3_4,0.13984674406130276
6029412_2_2,6005839_3_4,0.11685823831417633
6030582_1_4,6081235_1_2,0.44849081299212606
6030582_1_4,6081235_1_2,0.5075459311023622
6030582_1_4,6081235_1_2,0.6256561673228347
6030582_1_4,6081235_1_2,0.6650262460629922
6030582_1_4,6081235_1_2,0.7240813641732284
6030582_1_4,6081235_1_2,0.38943569488188984
6030582_1_4,6081235_1_2,0.4091207342519686
6030582_1_4,6081235_1_2,0.527230970472441
6030582_1_4,6081235_1_2,0.5862860885826773
6030582_1_4,6081235_1_2,0.6453412066929135
6030582_1_4,6081235_1_2,0.4091207342519686
6030582_1_4,6081235_1_2,0.4091207342519686
6030582_1_4,6081235_1_2,0.4681758523622048
6030582_1_4,6081235_1_2,0.5469160098425198
6030582_1_4,6081235_1_2,0.6256561673228347
6030582_1_4,6081235_1_2,0.8815616791338583
6030582_1_4,6081235_1_2,0.4288057736220473
6030582_1_4,6081235_1_2,0.4288057736220473
6030582_1_4,6081235_1_2,0.5075459311023622
6030582_1_4,6081235_1_2,0.5862860885826773
6030582_1_4,6081235_1_2,0.6453412066929135
6030582_1_4,6081235_1_2,0.4681758523622048
6030582_1_4,6081235_1_2,0.4681758523622048
6030582_1_4,6081235_1_2,0.4681758523622048
6030582_1_4,6081235_1_2,0.5469160098425198
6030582_1_4,6081235_1_2,0.6256561673228347
6030582_1_4,6081235_1_2,0.5862860885826773
6030582_1_4,6081235_1_2,0.5862860885826773
6030582_1_4,6081235_1_2,0.5862860885826773
6030582_1_4,6081235_1_2,0.6650262460629922
6030582_1_4,6081235_1_2,0.6847112854330709
6030582_1_4,6081235_1_2,0.6453412066929135
6030582_1_4,6081235_1_2,0.6453412066929135
6030582_1_4,6081235_1_2,0.6453412066929135
6030582_1_4,6081235_1_2,0.6453412066929135
6030582_1_4,6081235_1_2,0.6453412066929135
6030582_1_4,6081235_1_2,0.6650262460629922
