transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6010079_1_2,10:609,6005839_3_2,9,16.7396157435,10.3276438131,46.7369909583
6029412_1_4,3:629,6005839_3_4,6,60.7783391752,47.1808285093,17.4992795541
6029412_1_4,3:629,6005839_3_4,9,60.7783391752,47.9168319453,16.6432761181
6029412_1_4,3:629,6005839_3_4,10,60.7783391752,51.1430650672,13.4103763362
6029412_1_4,3:629,6005839_3_4,11,60.7783391752,53.8251539585,10.7282874449
6029412_1_4,3:629,6005839_3_4,13,60.7783391752,55.2724171163,9.28102428714
6029412_2_2,10:628,6005839_3_4,6,60.7783391752,47.1163518567,19.6741105853
6029412_2_2,10:628,6005839_3_4,9,60.7783391752,47.9123552927,18.8781071493
6029412_2_2,10:628,6005839_3_4,10,60.7783391752,51.1419217446,15.6485406973
6029412_2_2,10:628,6005839_3_4,11,60.7783391752,53.8240106358,12.9664518061
6029412_2_2,10:628,6005839_3_4,13,60.7783391752,55.2712737936,11.5191886483
6029412_2_2,10:629,6005839_3_4,1,60.7783391752,45.3813892656,19.4383888361
6029412_2_2,10:629,6005839_3_4,6,60.7783391752,46.7484164304,18.1980283313
6029412_2_2,10:629,6005839_3_4,9,60.7783391752,47.4844198664,17.3420248953
6029412_2_2,10:629,6005839_3_4,10,60.7783391752,50.7106529883,14.1091251134
6029412_2_2,10:629,6005839_3_4,11,60.7783391752,53.3927418796,11.4270362221
6029412_2_2,10:629,6005839_3_4,13,60.7783391752,54.8400050374,9.97977306434
6030582_1_4,3:626,6073513_1_6,1,29.8408549602,22.8870973055,10.3794691834
6030582_1_4,3:626,6073513_1_6,3,29.8408549602,23.3691180916,9.89744839726
6030582_1_4,3:626,6073513_1_6,5,29.8408549602,25.5000431387,7.76652335015
6030582_1_4,3:626,6073513_1_6,6,29.8408549602,26.3447845858,6.92178190307
6030582_1_4,3:626,6073513_1_6,7,29.8408549602,26.78217773,6.48438875889
6032078_1_4,10:632,6005839_3_4,6,60.7783391752,41.3428925307,27.9316449524
6032078_1_4,10:632,6005839_3_4,9,60.7783391752,42.1388959667,27.1356415165
6032078_1_4,10:632,6005839_3_4,13,60.7783391752,49.4978144677,19.7767230155
6032078_1_4,10:631,6005839_3_4,1,60.7783391752,40.2520174867,27.5618678471
6032078_1_4,10:631,6005839_3_4,6,60.7783391752,41.5557113215,26.2581740122
6032078_1_4,10:631,6005839_3_4,9,60.7783391752,42.3517147575,25.4621705763
6032078_1_4,10:631,6005839_3_4,10,60.7783391752,45.5812812094,22.2326041243
6032078_1_4,10:631,6005839_3_4,11,60.7783391752,48.2633701007,19.5505152331
6032078_1_4,10:631,6005839_3_4,13,60.7783391752,49.7106332585,18.1032520753
6032078_1_4,10:630,6005839_3_4,1,60.7783391752,40.7450039175,23.1570263049
6032078_1_4,10:630,6005839_3_4,6,60.7783391752,42.0486977524,21.8533324701
6032078_1_4,10:630,6005839_3_4,9,60.7783391752,42.8447011883,21.0573290341
6032078_1_4,10:630,6005839_3_4,10,60.7783391752,46.0742676403,17.8277625821
6032078_1_4,10:630,6005839_3_4,11,60.7783391752,48.7563565315,15.1456736909
6032078_1_4,10:630,6005839_3_4,13,60.7783391752,50.2036196893,13.6984105331
6032078_1_4,10:629,6005839_3_4,1,60.7783391752,41.5730530094,22.787934261
6032078_1_4,10:629,6005839_3_4,6,60.7783391752,42.8767468442,21.4842404262
6032078_1_4,10:629,6005839_3_4,9,60.7783391752,43.6727502802,20.6882369902
